"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2021","114.85","114.54","115.07","113.35","11.51M","0.42%"
"03/24/2021","114.37","114.56","115.25","114.33","12.65M","-0.11%"
"03/23/2021","114.50","115.53","115.72","114.21","9.17M","-1.01%"
"03/22/2021","115.67","114.60","115.75","114.03","6.16M","0.52%"
"03/19/2021","115.07","114.78","115.75","114.20","12.60M","0.36%"
"03/18/2021","114.66","114.37","115.60","114.32","8.55M","-0.21%"
"03/17/2021","114.90","114.82","115.47","114.20","7.52M","-0.36%"
"03/16/2021","115.32","115.51","115.72","114.90","8.62M","-0.06%"
"03/15/2021","115.39","114.39","115.42","114.26","7.12M","0.69%"
"03/12/2021","114.60","114.11","114.76","113.93","7.45M","0.22%"
"03/11/2021","114.35","114.05","114.98","113.89","6.55M","0.61%"
"03/10/2021","113.66","114.15","114.80","113.62","11.64M","0.23%"
"03/09/2021","113.40","113.57","115.20","113.35","11.02M","0.59%"
"03/08/2021","112.74","113.11","114.53","112.60","12.69M","-0.25%"
"03/05/2021","113.02","111.45","113.38","110.55","15.65M","2.00%"
"03/04/2021","110.80","112.06","112.80","109.93","23.44M","-1.34%"
"03/03/2021","112.31","113.33","113.45","112.05","14.95M","-1.27%"
"03/02/2021","113.75","114.32","114.59","113.64","8.46M","-0.29%"
"03/01/2021","114.08","113.53","114.61","113.50","7.36M","1.31%"
"02/26/2021","112.61","113.99","113.99","112.32","14.69M","-0.86%"
"02/25/2021","113.59","114.58","115.04","113.01","14.49M","-1.00%"
"02/24/2021","114.74","114.08","115.36","113.72","9.84M","0.69%"
"02/23/2021","113.95","114.06","114.76","113.42","8.73M","-0.17%"
"02/22/2021","114.14","113.86","114.49","113.11","7.21M","-0.24%"
"02/19/2021","114.41","115.90","115.99","114.31","9.39M","-1.21%"
"02/18/2021","115.81","115.97","116.28","115.33","7.76M","-0.63%"
"02/17/2021","116.54","115.74","116.60","115.61","5.03M","0.36%"
"02/16/2021","116.12","117.43","117.54","115.74","9.53M","-0.99%"
"02/12/2021","117.28","116.18","117.41","116.03","6.35M","0.75%"
"02/11/2021","116.41","116.60","116.70","115.86","4.68M","0.19%"
"02/10/2021","116.19","116.82","116.85","115.78","5.41M","0.18%"
"02/09/2021","115.98","115.80","116.08","115.69","4.73M","0.15%"
"02/08/2021","115.81","116.08","116.24","115.47","6.96M","0.12%"
"02/05/2021","115.67","116.25","116.43","115.39","5.56M","0.18%"
"02/04/2021","115.46","114.98","115.93","114.73","8.45M","0.42%"
"02/03/2021","114.98","115.80","115.86","114.61","11.28M","-0.71%"
"02/02/2021","115.80","116.38","116.95","115.77","11.52M","0.29%"
"02/01/2021","115.47","115.97","116.35","115.29","10.11M","0.38%"
"01/29/2021","115.03","115.84","116.66","114.10","10.46M","-0.84%"
"01/28/2021","116.01","115.31","117.47","115.09","12.63M","1.46%"
"01/27/2021","114.34","116.62","116.62","114.05","13.10M","-3.04%"
"01/26/2021","117.92","118.70","118.99","117.86","5.50M","-0.37%"
"01/25/2021","118.36","117.66","118.43","117.42","6.96M","0.65%"
"01/22/2021","117.59","117.59","118.25","117.44","4.80M","-0.30%"
"01/21/2021","117.94","118.35","118.47","117.54","5.80M","-0.47%"
"01/20/2021","118.50","118.05","118.69","117.34","6.87M","0.55%"
"01/19/2021","117.85","117.90","118.23","117.23","6.19M","0.75%"
"01/15/2021","116.97","116.29","117.24","115.83","10.34M","0.31%"
"01/14/2021","116.61","117.17","117.61","116.47","5.79M","-0.32%"
"01/13/2021","116.98","116.60","117.38","116.17","5.26M","0.27%"
"01/12/2021","116.66","117.71","117.84","116.13","9.23M","-1.09%"
"01/11/2021","117.94","117.42","118.13","117.27","6.43M","0.47%"
"01/08/2021","117.39","117.04","117.91","116.28","9.35M","0.48%"
"01/07/2021","116.83","115.48","117.00","115.30","12.41M","1.30%"
"01/06/2021","115.33","112.18","115.63","112.18","17.83M","1.37%"
"01/05/2021","113.77","112.75","114.16","112.27","11.08M","0.73%"
"01/04/2021","112.95","113.88","113.90","111.11","12.91M","-0.43%"
