"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2021","62.59","62.37","63.03","62.15","11.03M","0.03%"
"03/23/2021","62.57","61.63","62.80","61.50","13.06M","1.49%"
"03/22/2021","61.65","61.60","61.93","61.20","12.82M","-0.88%"
"03/19/2021","62.20","62.05","62.74","61.39","19.36M","0.27%"
"03/18/2021","62.03","62.20","62.45","61.59","14.81M","-0.37%"
"03/17/2021","62.26","63.24","63.25","62.20","17.20M","-1.63%"
"03/16/2021","63.29","63.06","63.45","62.89","14.62M","0.13%"
"03/15/2021","63.21","62.50","63.37","62.50","12.21M","1.28%"
"03/12/2021","62.41","61.85","62.60","61.56","10.02M","1.35%"
"03/11/2021","61.58","61.63","62.35","61.55","8.58M","-0.26%"
"03/10/2021","61.74","61.30","61.93","61.13","13.71M","0.68%"
"03/09/2021","61.32","60.85","61.52","60.77","11.11M","1.32%"
"03/08/2021","60.52","59.85","61.05","59.69","19.21M","1.41%"
"03/05/2021","59.68","58.97","59.96","58.45","16.80M","1.63%"
"03/04/2021","58.72","58.81","59.81","58.40","22.09M","-0.09%"
"03/03/2021","58.77","59.38","59.38","58.27","22.92M","-1.18%"
"03/02/2021","59.47","59.74","59.90","59.13","14.65M","-0.30%"
"03/01/2021","59.65","59.10","60.31","59.09","15.72M","2.21%"
"02/26/2021","58.36","59.66","60.03","58.34","19.01M","-1.85%"
"02/25/2021","59.46","59.88","60.17","59.17","15.68M","-0.90%"
"02/24/2021","60.00","60.56","60.67","59.94","11.84M","-1.17%"
"02/23/2021","60.71","60.45","60.92","60.14","13.11M","0.83%"
"02/22/2021","60.21","61.24","61.31","59.64","17.80M","-1.95%"
"02/19/2021","61.41","62.35","62.38","61.36","8.97M","-1.49%"
"02/18/2021","62.34","61.87","62.61","61.87","7.71M","0.60%"
"02/17/2021","61.97","61.99","62.08","61.55","10.19M","0.08%"
"02/16/2021","61.92","62.55","62.63","61.83","15.86M","-1.12%"
